Year,All
1950,15954888.79
1951,19083887.09
1952,22702787
1953,26029634.93
1954,32853375.02
1955,35586361.94
1956,42128582.11
1957,51717646.9
1958,57415494.39
1959,65378313.3
1960,80233370.13
1961,88736051.1
1962,99163003.85
1963,117587472.6
1964,121137585.4
1965,131805588.2
1966,124466807.5
1967,128973318.1
1968,135746003.4
1969,137933208.2
1970,142009064.5
1971,149541125.8
1972,167451203.6
1973,168136555.1
1974,202209856.5
1975,215236261.8
1976,243855487.4
1977,229400020.3
1978,300597704.9
1979,310930664.7
1980,353764436.2
1981,275733278.6
1982,283045393.2
1983,265875867.7
1984,342537586.2
1985,438074303.1
1986,385027184.7
1987,444259806.6
1988,397603072.3
1989,464596886.2
1990,476555826.3
1991,498151102.4
1992,452087835.5
1993,450445445.4
1994,452519388.2
1995,492089940.9
1996,538309954.3
1997,641828432.4
1998,588580464
1999,813407442
2000,777590751.2
2001,854187578.6
2002,942354984.2
2003,1216790685
2004,1598568027
2005,1470603142
2006,1681678590
2007,1300225084
2008,1779240033
2009,1501172015
2010,2012129050
2011,2235414038
2012,2149577637
2013,2461487008
2014,2675350194
2015,2918211102
2016,2918211102
2017,2918211102
2018,2918211102
2019,2918211102
2020,2918211102
